"tns_direct","MasterCard Payment Gateway Services Direct API"
"tns_hpf","MasterCard Payment Gateway Services Hosted Session"
"tns_hosted","MasterCard Payment Gateway Services Hosted Checkout"
"session","Payment Session ID"
"Could not find order","Could not find order"
"Could not find transaction","Could not find transaction"
"Failed - Connection not secure","Failed - Connection not secure"
"Authorization not provided","Authorization not provided"
"Invalid data received (Transaction ID)","Invalid data received (Transaction ID)"
"Invalid data received (Order ID)","Invalid data received (Order ID)"
"Authorization failed","Authorization failed"
"MasterCard Payment Gateway Services WebHook Exception: '%s'","MasterCard Payment Gateway Services WebHook Exception: '%s'"
"MasterCard Payment Gateway Services WebHook Success","MasterCard Payment Gateway Services WebHook Success"
"Wrong response type","Wrong response type"
"Card details not provided by tokenization","Card details not provided by tokenization"
"Order updated by Webhook","Order updated by Webhook"
"OrderID mismatch","OrderID mismatch"
"Currency mismatch","Currency mismatch"
"Response does not contain a body.","Response does not contain a body."
"3D-Secure verification error.","3D-Secure verification error."
"Transaction declined by 3D-Secure validation.","Transaction declined by 3D-Secure validation."
Europe,Europe
"Asia Pacific","Asia Pacific"
"North America","North America"
UAT,UAT
Other,Other
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
expires,expires
"Show Payment Details","Show Payment Details"
"gateway_code","Payment Status"
"txn_result","Payment Result"
"card_scheme","Card Type"
"card_number","Card Number"
"card_expiry_date","Expiry"
"auth_code","Auth Code"
"funding_method","Funding Method"
"issuer","Issuer"
"name_on_card","Name On Card"
"Risk Status","Risk Status"
"Total Score","Total Score"
Decision,Decision
"Decision Reason","Decision Reason"
Note,Note
"Time Of Decision","Time Of Decision"
Rules,Rules
Rule,Rule
Recommendation,Recommendation
Score,Score
"Process Secure Payment","Process Secure Payment"
"Data error","Data error"
"Click here to continue","Click here to continue"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"What is this?","What is this?"
"Save for later use.","Save for later use."
"Place Order","Place Order"
Payment,Payment
"Please wait...","Please wait..."
Pay,Pay
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Invalid card number","Invalid card number"
"Invalid security code","Invalid security code"
"Invalid expiry month","Invalid expiry month"
"Invalid expiry year","Invalid expiry year"
MasterCard,MasterCard
"Accept credit/debit cards in your Magento store.","Accept credit/debit cards in your Magento store."
"Hosted Payment Session","Hosted Payment Session"
Enabled,Enabled
"Vault Enabled","Vault Enabled"
Title,Title
"Payment Action","Payment Action"
"API Username","API Username"
"API Password","API Password"
"WebHook Secret","WebHook Secret"
"Be sure to enable the WebHook support in your MasterCard Merchant Administration","Be sure to enable the WebHook support in your MasterCard Merchant Administration"
"WebHook URL","WebHook URL"
"If left blank, will be chosen automatically","If left blank, will be chosen automatically"
Gateway,Gateway
"Custom Gateway URL","Custom Gateway URL"
"Test Mode","Test Mode"
Debug,Debug
"New Order Status","New Order Status"
"Enable 3-D Secure","Enable 3-D Secure"
"Be sure to Enable 3D-Secure in your MasterCard account","Be sure to Enable 3D-Secure in your MasterCard account"
"Accepted Currency","Accepted Currency"
"Credit Card Verification","Credit Card Verification"
"Be sure to Enable CVV in your MasterCard account","Be sure to Enable CVV in your MasterCard account"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"Hosted Checkout","Hosted Checkout"
"Credit or Debit Card","Credit or Debit Card"
"Credit Card Types","Credit Card Types"
